27,https://i.hungrygowhere.com/business/79/43/11/00/stewart-fruit-juice_320x0_crop_320x200_a9edc1de7a.jpg,Adam Road Food Centre,Stewart Fruit Juice,"#01-28 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Drinks, Fruits & Drinks, Juices, Snacks",null,Fruit Juice
28,https://i.hungrygowhere.com/business/52/43/11/00/juns-chicken-rice_320x0_crop_320x200_a2b55ecdb2.jpg,Adam Road Food Centre,Jun's Chicken Rice,"#01-08 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876","Chinese, Malaysian",Daily: 11:00 - 22:00,Chicken Rice
29,https://s.hungrygowhere.com/bundles/insinghgwr/images/redesign/no_image.png?1584415419,Adam Road Food Centre,The Sugarcane Plant,"#01-30 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876",Chinese,Mon - Sun: 07:00 - 21:00,null
30,https://i.hungrygowhere.com/business/ed/4f/11/00/adam-drink-store_320x0_crop_320x200_1b5301be14.jpg,Adam Road Food Centre,Adam Drink Store,"#01-32 ADAM ROAD FOOD CENTRE, 2 ADAM ROAD, 289876",Drinks,Mon - Sun: 10:00 - 04:00,Canned Drinks
31,https://i.hungrygowhere.com/rnr/food/175362/471e0a00/7bccc940ae52a75edca7b89fd704005b_1473441369_320x0_crop_320x200_d0c8410f5f.jpg,Amoy Street Food Centre,A Noodle Story,"#01-39 AMOY STREET FOOD CENTRE, 7 MAXWELL ROAD, 069111","Asian, Chinese, Japanese, Local","
Opens: 
Mon - Fri: 11:15 to 14:30
Mon - Fri: 17:30 to 19:30
Sat: 10:30 to 13:30Closed: Sun","Hong Kong Style Wontons, Singapore Style Ramen"
32,https://i.hungrygowhere.com/business/9c/ad/11/00/mamacitas_320x0_crop_320x200_02c4a90718.jpg,Amoy Street Food Centre,Mamacitas,"#01-50 AMOY STREET FOOD CENTRE, 7 MAXWELL ROAD, 069111",Western,null,null
33,https://i.hungrygowhere.com/business/65/44/11/00/teochew-beef-kway-teow_320x0_crop_320x200_587ddedd82.jpg,Amoy Street Food Centre,Teochew Beef Kway Teow,"#01-23 AMOY STREET FOOD CENTRE, 7 MAXWELL ROAD, 069111","Asian, Chinese, Teochew",null,null
34,https://i.hungrygowhere.com/business/b3/ad/11/00/pepper-bowl_320x0_crop_320x200_02f7ae08bc.jpg,Amoy Street Food Centre,Pepper Bowl,"#02-102 AMOY STREET FOOD CENTRE, 7 MAXWELL ROAD, 069111","Asian, Chinese",null,null
35,https://i.hungrygowhere.com/rnr/food/202153/7cd50b00/27ca0f6453261554f54d6a60e9b92755_1534343271_320x0_crop_320x200_f686d7aa6d.jpg,Amoy Street Food Centre,Sarawak Kolo Mee (Amoy Street Food Centre),"#02-110 AMOY STREET FOOD CENTRE, 7 MAXWELL ROAD, 069111",Malaysian,Mon - Fri: 09:00 - 14:30Closed: Sat & Sun,Kolo Mee
36,https://i.hungrygowhere.com/business/bb/44/11/00/zhi-sheng-cooked-food_320x0_crop_320x200_3401104a25.jpg,Amoy Street Food Centre,Zhi Sheng Cooked Food,"#02-108 AMOY STREET FOOD CENTRE, 7 MAXWELL ROAD, 069111",Chinese,null,null
